# gunzip -c exp_FG/DNN_tri_8_2000_aligned_layer3_nodes256/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_FG/tri_8_2000/graph 
# Started at Sun Apr  1 15:53:34 CST 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 3.7037037037% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 18.5185185185% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 96.3% of phone occurrences, with duration (median, mean, 95-percentile) is (3,15.4,65) frames.
At utterance begin, y_B accounts for 58.0% of phone occurrences, with duration (median, mean, 95-percentile) is (3,5.5,16) frames.
At utterance begin, g_B accounts for 23.5% of phone occurrences, with duration (median, mean, 95-percentile) is (26,31.4,65) frames.
At utterance begin, d_B accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,14.0,36) frames.
At utterance begin, sil accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (17,16.8,17) frames.
At utterance begin, k_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (74,74.0,74) frames.
At utterance end, nonsilence accounts for 81.5% of phone occurrences, with duration (median, mean, 95-percentile) is (31,36.4,89) frames.
At utterance end, ang2_E accounts for 51.2% of phone occurrences, with duration (median, mean, 95-percentile) is (25,26.6,53) frames.
At utterance end, sil accounts for 18.5% of phone occurrences, with duration (median, mean, 95-percentile) is (4,9.5,25) frames.
At utterance end, eng1_E accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (55,49.4,56) frames.
At utterance end, eng4_E accounts for 8.0% of phone occurrences, with duration (median, mean, 95-percentile) is (35,62.6,92) frames.
At utterance end, en2_E accounts for 7.4% of phone occurrences, with duration (median, mean, 95-percentile) is (37,53.0,69) frames.
At utterance end, ian2_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (43,42.5,43) frames.
Overall, nonsilence accounts for 95.0% of phone occurrences, with duration (median, mean, 95-percentile) is (13,16.4,52) frames.
Overall, y_B accounts for 6.9% of phone occurrences, with duration (median, mean, 95-percentile) is (5,7.5,19) frames.
Overall, sil accounts for 5.0% of phone occurrences, with duration (median, mean, 95-percentile) is (8,11.4,27) frames.
Overall, t_I accounts for 4.6% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.1,11) frames.
Overall, ao4_E accounts for 3.9% of phone occurrences, with duration (median, mean, 95-percentile) is (31,33.3,72) frames.
