# gunzip -c exp_FG/mono/decode/phone_stats.*.gz | steps/diagnostic/analyze_phone_length_stats.py exp_FG/mono/graph 
# Started at Sun Apr  1 15:38:14 CST 2018
#
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 16.049382716% of the time at utterance begin.  This may not be optimal.
analyze_phone_length_stats.py: WARNING: optional-silence sil is seen only 18.5185185185% of the time at utterance end.  This may not be optimal.
At utterance begin, nonsilence accounts for 84.0% of phone occurrences, with duration (median, mean, 95-percentile) is (4,11.0,60) frames.
At utterance begin, y_B accounts for 61.1% of phone occurrences, with duration (median, mean, 95-percentile) is (3,4.6,9) frames.
At utterance begin, g_B accounts for 18.5% of phone occurrences, with duration (median, mean, 95-percentile) is (26,33.9,66) frames.
At utterance begin, sil accounts for 16.0% of phone occurrences, with duration (median, mean, 95-percentile) is (6,7.1,14) frames.
At utterance begin, d_B accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (3,3.0,3) frames.
At utterance begin, er4_S accounts for 0.6% of phone occurrences, with duration (median, mean, 95-percentile) is (6,6.0,6) frames.
At utterance end, nonsilence accounts for 81.5% of phone occurrences, with duration (median, mean, 95-percentile) is (31,33.9,70) frames.
At utterance end, ang2_E accounts for 51.9% of phone occurrences, with duration (median, mean, 95-percentile) is (24,23.3,54) frames.
At utterance end, sil accounts for 18.5% of phone occurrences, with duration (median, mean, 95-percentile) is (9,16.9,41) frames.
At utterance end, eng1_E accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (36,40.1,54) frames.
At utterance end, eng4_E accounts for 11.1% of phone occurrences, with duration (median, mean, 95-percentile) is (57,61.3,92) frames.
At utterance end, en2_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (70,70.0,70) frames.
At utterance end, ian2_E accounts for 3.7% of phone occurrences, with duration (median, mean, 95-percentile) is (45,45.0,45) frames.
Overall, nonsilence accounts for 93.1% of phone occurrences, with duration (median, mean, 95-percentile) is (12,15.8,44) frames.
Overall, y_B accounts for 7.7% of phone occurrences, with duration (median, mean, 95-percentile) is (4,5.8,21) frames.
Overall, sil accounts for 6.9% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.5,39) frames.
Overall, ao4_E accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (31,35.4,73) frames.
Overall, t_I accounts for 4.5% of phone occurrences, with duration (median, mean, 95-percentile) is (5,5.9,14) frames.
Overall, q_I accounts for 3.8% of phone occurrences, with duration (median, mean, 95-percentile) is (12,13.1,17) frames.
Overall, ai3_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (19,17.9,22) frames.
Overall, ang2_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (27,24.2,54) frames.
Overall, h_B accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (15,13.5,25) frames.
Overall, ia1_I accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (14,14.3,19) frames.
Overall, iang1_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (5,6.6,18) frames.
Overall, iao2_E accounts for 3.2% of phone occurrences, with duration (median, mean, 95-percentile) is (30,23.3,39) frames.
