# gunzip -c exp_FG/mono/decode/depth_stats_tmp.*.gz | steps/diagnostic/analyze_lattice_depth_stats.py exp_FG/mono/graph 
# Started at Sun Apr  1 15:38:15 CST 2018
#
The total amount of data analyzed assuming 100 frames per second is 0.1 hours
Overall, lattice depth (10,50,90-percentile)=(1,1,4) and mean=1.8
Nonsilence phones as a group account for 94.1% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.7
Phone ao4_E accounts for 10.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,6) and mean=2.7
Phone sil accounts for 5.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,6) and mean=2.7
Phone iu2_I accounts for 5.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone ang2_E accounts for 4.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Phone in2_I accounts for 4.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.7
Phone iao2_E accounts for 4.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone ai3_E accounts for 3.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone q_I accounts for 3.2% of frames, with lattice depth (10,50,90-percentile)=(1,2,3) and mean=1.7
Phone eng1_E accounts for 3.0% of frames, with lattice depth (10,50,90-percentile)=(1,2,6) and mean=2.5
Phone ia1_I accounts for 2.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone y_B accounts for 2.9% of frames, with lattice depth (10,50,90-percentile)=(1,2,4) and mean=2.2
Phone h_B accounts for 2.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone n_B accounts for 2.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone g_B accounts for 2.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone j_B accounts for 2.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone eng4_E accounts for 2.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Phone k_B accounts for 1.9% of frames, with lattice depth (10,50,90-percentile)=(2,2,2) and mean=2.0
Phone t_I accounts for 1.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.4
Phone sh_B accounts for 1.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone ao2_E accounts for 1.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone a3_I accounts for 1.6% of frames, with lattice depth (10,50,90-percentile)=(1,2,5) and mean=2.3
Phone en2_E accounts for 1.4% of frames, with lattice depth (10,50,90-percentile)=(1,2,2) and mean=1.8
Phone d_B accounts for 1.4% of frames, with lattice depth (10,50,90-percentile)=(1,2,4) and mean=2.1
Phone uo1_E accounts for 1.4% of frames, with lattice depth (10,50,90-percentile)=(1,2,2) and mean=1.6
Phone iao4_E accounts for 1.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone iang1_E accounts for 1.3% of frames, with lattice depth (10,50,90-percentile)=(1,2,6) and mean=3.2
Phone e2_I accounts for 1.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone uan1_I accounts for 1.3% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.1
Phone n_I accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone x_B accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(2,5,7) and mean=4.7
Phone ao3_E accounts for 1.2% of frames, with lattice depth (10,50,90-percentile)=(1,1,3) and mean=1.4
Phone i4_E accounts for 0.9% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone a2_I accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone i3_E accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,2,2) and mean=1.7
Phone b_B accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.5
Phone z_I accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.2
Phone ian2_E accounts for 0.8% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone ong2_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(1,2,2) and mean=1.5
Phone ei1_I accounts for 0.7% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone er4_S accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,6,8) and mean=4.3
Phone b_I accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone f_B accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,2) and mean=1.3
Phone u3_E accounts for 0.6% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
Phone ua1_I accounts for 0.5% of frames, with lattice depth (10,50,90-percentile)=(1,1,1) and mean=1.0
# Accounting: time=0 threads=1
# Ended (code 0) at Sun Apr  1 15:38:15 CST 2018, elapsed time 0 seconds
